Permit #,Status,Permit Type,Permit SubType,Permit Sub Type Description,Date Entered,Date Issued,Parcel,Business Name,Business Owner,Address,City,State,Zip,Council District,Census Tract,Mapped Location,latlng,lat,lng
20-26815,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,06/10/2020,08/27/2020,10501008900,MCDOUGAL'S CHICKEN FINGERS & WINGS,,901  12TH AVE S,NASHVILLE,TN,37203.0,17.0,37016300.0,"901 12TH AVE S
NASHVILLE, TN 37203
(36.147073, -86.785805)","36.147073, -86.785805",36.147073, -86.785805
20-26461,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,01/30/2020,04/10/2020,09310039700,DRURY PLAZA HOTEL NASHVILLE DOWNTOWN,,300  KOREAN VETERANS BLVD,NASHVILLE,TN,37201.0,19.0,37019500.0,"300 KOREAN VETERANS BLVD
NASHVILLE, TN 37201
(36.157191, -86.774733)","36.157191, -86.774733",36.157191, -86.774733
22-27668,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,03/15/2022,06/10/2022,13005000100,THE IROQUOIS CLUB,,106 W TYNE DR,NASHVILLE,TN,37209.0,34.0,37018500.0,"106 W TYNE DR
NASHVILLE, TN 37209
(36.09696, -86.872936)","36.09696, -86.872936",36.09696, -86.872936
22-27709,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,04/12/2022,06/10/2022,13315015400,STRIKEOUT WINGZ,Chinar Tucker,3961A  NOLENSVILLE PIKE,NASHVILLE,TN,37211.0,26.0,37018901.0,"3961A NOLENSVILLE PIKE
NASHVILLE, TN 37211
(36.085296, -86.728535)","36.085296, -86.728535",36.085296, -86.728535
20-26522,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,02/28/2020,04/09/2020,08213015200,WALGREENS #18085,,1104  ROSA L PARKS BLVD,NASHVILLE,TN,37208.0,19.0,37019400.0,"1104 ROSA L PARKS BLVD
NASHVILLE, TN 37208
(36.173518, -86.791534)","36.173518, -86.791534",36.173518, -86.791534
20-26478,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,02/07/2020,04/10/2020,06115031700,HENRY JAMES,"James Gaines, Rebecca Gaines",3807  GALLATIN PIKE,NASHVILLE,TN,37216.0,8.0,37011200.0,"3807 GALLATIN PIKE
NASHVILLE, TN 37216
(36.214491, -86.730474)","36.214491, -86.730474",36.214491, -86.730474
19-26404,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,12/19/2019,04/13/2020,16100028100,SAL'S FAMILY PIZZA,Latifkhon Fayz,5545  EDMONDSON PIKE,NASHVILLE,TN,37211.0,4.0,37018801.0,"5545 EDMONDSON PIKE
NASHVILLE, TN 37211
(36.041417, -86.743793)","36.041417, -86.743793",36.041417, -86.743793
19-26014,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,05/07/2019,06/13/2019,10408011400,SUSHI 88,,2119  BELCOURT AVE,NASHVILLE,TN,37212.0,18.0,37016800.0,"2119 BELCOURT AVE
NASHVILLE, TN 37212
(36.136784, -86.802506)","36.136784, -86.802506",36.136784, -86.802506
19-26071,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,05/30/2019,06/13/2019,08008031000,FOOD MART LLC,,1497  COUNTY HOSPITAL RD,NASHVILLE,TN,37218.0,1.0,37012802.0,"1497 COUNTY HOSPITAL RD
NASHVILLE, TN 37218
(36.185198, -86.842144)","36.185198, -86.842144",36.185198, -86.842144
19-26208,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,08/16/2019,11/01/2019,09310043900,INFINITY HOSPITALITY INC.,,400  4TH AVE S,NASHVILLE,TN,37201.0,19.0,37019500.0,"400 4TH AVE S
NASHVILLE, TN 37201
(36.156825, -86.774481)","36.156825, -86.774481",36.156825, -86.774481
22-27725,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,04/22/2022,01/13/2023,13414003400,THAI PAPAYA,,321A  HARDING PL,NASHVILLE,TN,37211.0,28.0,37015613.0,"321A HARDING PL
NASHVILLE, TN 37211
(36.08687, -86.69377)","36.08687, -86.69377",36.08687, -86.69377
19-26205,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,08/15/2019,11/01/2019,10700012900,Embassy Suites By Hilton Nashville Airport,,10  CENTURY BLVD,NASHVILLE,TN,37214.0,15.0,37015100.0,"10 CENTURY BLVD
NASHVILLE, TN 37214
(36.144714, -86.686523)","36.144714, -86.686523",36.144714, -86.686523
20-26438,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,01/20/2020,04/13/2020,16300036700,HAMPTON INN,,210  CROSSINGS PL,ANTIOCH,TN,37013.0,32.0,37015629.0,"210 CROSSINGS PL
ANTIOCH, TN 37013
(36.044401, -86.64822)","36.044401, -86.64822",36.044401, -86.64822
20-26457,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,01/29/2020,04/13/2020,08216006900,JOYLAND,"Amplified Investments 2, LLC, Pokeweed Productions, LLC",901  WOODLAND ST  101,NASHVILLE,TN,37206.0,6.0,37019200.0,"901 WOODLAND ST 101
NASHVILLE, TN 37206
(36.175138, -86.75611)","36.175138, -86.75611",36.175138, -86.75611
20-26986,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,11/24/2020,04/30/2021,093063A00300CO,HATTIE'S 5TH & BROAD,,5069  BROADWAY PL,NASHVILLE,TN,37203.0,19.0,37019500.0,"5069 BROADWAY PL
NASHVILLE, TN 37203",,,
21-27144,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,03/24/2021,04/30/2021,12006004900,7-ELEVEN 41084H,David Seltzer,1309  MURFREESBORO PIKE,NASHVILLE,TN,37217.0,13.0,37015700.0,"1309 MURFREESBORO PIKE
NASHVILLE, TN 37217
(36.115935, -86.696269)","36.115935, -86.696269",36.115935, -86.696269
20-26494,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,02/14/2020,06/11/2020,09306400600,NUDIE'S HONKY TONK,,409  BROADWAY,NASHVILLE,TN,37203.0,19.0,37019500.0,"409 BROADWAY
NASHVILLE, TN 37203
(36.160882, -86.777552)","36.160882, -86.777552",36.160882, -86.777552
21-27078,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,02/09/2021,04/30/2021,04211003000,GRAMS,Edward Gray,632  OLD HICKORY BLVD W,MADISON,TN,37115.0,8.0,37010801.0,"632 OLD HICKORY BLVD W
MADISON, TN 37115
(36.264372, -86.729318)","36.264372, -86.729318",36.264372, -86.729318
20-26875,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,08/11/2020,04/30/2021,10700018600,HYATT HOUSE NASHVILLE AIRPORT,,14  CENTURY BLVD,NASHVILLE,TN,37214.0,15.0,37015100.0,"14 CENTURY BLVD
NASHVILLE, TN 37214
(36.145545, -86.686214)","36.145545, -86.686214",36.145545, -86.686214
21-27130,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,03/23/2021,04/30/2021,08214005600,BARRIQUE BREWING AND BLENDING LLC,,30  OLDHAM ST,NASHVILLE,TN,37213.0,5.0,37019300.0,"30 OLDHAM ST
NASHVILLE, TN 37213
(36.174562, -86.776155)","36.174562, -86.776155",36.174562, -86.776155
21-27234,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,05/10/2021,06/10/2022,09313009000,W NASHVILLE (ROOFTOP),,300  12TH AVE S,NASHVILLE,TN,37203.0,19.0,37019500.0,"300 12TH AVE S
NASHVILLE, TN 37203
(36.15346, -86.785434)","36.15346, -86.785434",36.15346, -86.785434
21-27116,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,03/10/2021,06/10/2022,09313009000,W NASHVILLE,,300  12TH AVE S,NASHVILLE,TN,37203.0,19.0,37019500.0,"300 12TH AVE S
NASHVILLE, TN 37203
(36.15346, -86.785434)","36.15346, -86.785434",36.15346, -86.785434
19-25907,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,03/03/2019,06/14/2019,17212010600,DEEP SOUTH GROWLERS,Cynthia B Anderton,6900  LENOX VILLAGE DR  6,NASHVILLE,TN,37211.0,31.0,37019114.0,"6900 LENOX VILLAGE DR 6
NASHVILLE, TN 37211
(36.025525, -86.712036)","36.025525, -86.712036",36.025525, -86.712036
19-26022,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,05/09/2019,06/14/2019,09309016800,VIRAGO,100,1120  MCGAVOCK ST,NASHVILLE,TN,37203.0,19.0,37019500.0,"1120 MCGAVOCK ST
NASHVILLE, TN 37203
(36.155867, -86.78605)","36.155867, -86.78605",36.155867, -86.78605
19-25960,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,03/28/2019,06/14/2019,10510030200,LOVE PEACE & PHO,,2112  8TH AVE S,NASHVILLE,TN,37204.0,17.0,37017000.0,"2112 8TH AVE S
NASHVILLE, TN 37204
(36.131462, -86.778867)","36.131462, -86.778867",36.131462, -86.778867
19-26000,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,04/29/2019,06/14/2019,09116037300,Another Broken Egg Cafe,,4111  CHARLOTTE AVE,NASHVILLE,TN,37209.0,24.0,37013400.0,"4111 CHARLOTTE AVE
NASHVILLE, TN 37209
(36.152385, -86.83657)","36.152385, -86.83657",36.152385, -86.83657
19-26003,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,05/01/2019,06/14/2019,09507015500,DoubleTree Suites by Hilton Nashville Airport,,2424  ATRIUM WAY,NASHVILLE,TN,37214.0,15.0,37015100.0,"2424 ATRIUM WAY
NASHVILLE, TN 37214
(36.159506, -86.690275)","36.159506, -86.690275",36.159506, -86.690275
15-20036,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,07/29/2014,01/06/2015,09314059200,City Winery Nashville,City Winery Nashville LLC,609  Lafayette ST,Nashville,TN,37203.0,19.0,37019500.0,"609 Lafayette ST
Nashville, TN 37203
(36.153413, -86.775945)","36.153413, -86.775945",36.153413, -86.775945
19-25967,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,04/08/2019,06/18/2019,08205015400,O-KU SUSHI,Stephen Palmer,81  VAN BUREN ST,NASHVILLE,TN,37208.0,19.0,37019400.0,"81 VAN BUREN ST
NASHVILLE, TN 37208
(36.181976, -86.785124)","36.181976, -86.785124",36.181976, -86.785124
01-00559,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,01/09/2001,01/25/2001,06200000500,Nashville KOA,"Kampgrounds of America, Inc.",2626  Music Valley DR,Nashville,TN,37214.0,15.0,37015300.0,"2626 Music Valley DR
Nashville, TN 37214
(36.235348, -86.708277)","36.235348, -86.708277",36.235348, -86.708277
19-25958,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,03/28/2019,06/19/2019,09310048700,JW Marriott,"8th &amp; Demonbreun Hotel LC, 8th &amp; Demonbreun Hotel Limited Partner LLC",201  8TH AVE S,NASHVILLE,TN,37203.0,19.0,37019500.0,"201 8TH AVE S
NASHVILLE, TN 37203
(36.15658, -86.780634)","36.15658, -86.780634",36.15658, -86.780634
20-26463,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,02/03/2020,04/14/2020,10314002600,Reserva Cigars,,73  WHITE BRIDGE PIKE,NASHVILLE,TN,37205.0,24.0,37018102.0,"73 WHITE BRIDGE PIKE
NASHVILLE, TN 37205",,,
20-26507,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,02/20/2020,04/14/2020,083060C01200CO,GRAZE NASHVILLE,"Ashley Austin Davis, Nick Davis",1888  EASTLAND AVE,NASHVILLE,TN,37206.0,6.0,37012100.0,"1888 EASTLAND AVE
NASHVILLE, TN 37206
(36.182617, -86.735459)","36.182617, -86.735459",36.182617, -86.735459
19-26015,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,05/07/2019,06/21/2019,093061F10100CO,CHILE BURRITO,"Jason Kean Kerr (20%), John Talbot Masten, III (80%)",162  4TH AVE N 101,NASHVILLE,TN,37219.0,19.0,37019500.0,"162 4TH AVE N 101
NASHVILLE, TN 37219
(36.163343, -86.778704)","36.163343, -86.778704",36.163343, -86.778704
21-27075,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,02/08/2021,05/03/2021,07500002600,NATCHEZ HILLS AT THE HERMITAGE,"James M Odom, Karen A Odom",4580  RACHELS LN,HERMITAGE,TN,37076.0,11.0,37015401.0,"4580 RACHELS LN
HERMITAGE, TN 37076
(36.212821, -86.611722)","36.212821, -86.611722",36.212821, -86.611722
21-27316,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,06/28/2021,08/26/2021,09305019900,CONDADO TACOS,"Christopher J. Artinian, Joe Kahn, Revolucion Holding, LLC",418  11TH AVE N,NASHVILLE,TN,37203.0,19.0,37019400.0,"418 11TH AVE N
NASHVILLE, TN 37203
(36.163046, -86.79104)","36.163046, -86.79104",36.163046, -86.79104
19-26262,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,09/12/2019,11/07/2019,08309013800,THE TREEHOUSE,Caroline Wilson Black 29%,1011  CLEARVIEW AVE,NASHVILLE,TN,37206.0,6.0,37019200.0,"1011 CLEARVIEW AVE
NASHVILLE, TN 37206
(36.177713, -86.750535)","36.177713, -86.750535",36.177713, -86.750535
19-26036,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,05/17/2019,11/07/2019,08207013900,RED HEADED STRANGER,,305  ARRINGTON ST,NASHVILLE,TN,37207.0,5.0,37011800.0,"305 ARRINGTON ST
NASHVILLE, TN 37207
(36.184928, -86.767957)","36.184928, -86.767957",36.184928, -86.767957
19-26306,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,10/06/2019,11/07/2019,04405019400,FULL THROTTLE BAR & GRILL,,333  SWINGING BRIDGE RD,OLD HICKORY,TN,37138.0,11.0,37010501.0,"333 SWINGING BRIDGE RD
OLD HICKORY, TN 37138
(36.271819, -86.662748)","36.271819, -86.662748",36.271819, -86.662748
19-25866,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,02/01/2019,06/27/2019,104060A15000CO,WOODLANDS INDIAN CUISINE,,3415  WEST END AVE  101B,NASHVILLE,TN,37203.0,18.0,37016800.0,"3415 WEST END AVE 101B
NASHVILLE, TN 37203
(36.138506, -86.820007)","36.138506, -86.820007",36.138506, -86.820007
19-25996,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,04/27/2019,06/27/2019,09306203000,ANOTHER BROKEN EGG CAFE,,208  COMMERCE ST,NASHVILLE,TN,37201.0,19.0,37019500.0,"208 COMMERCE ST
NASHVILLE, TN 37201
(36.163036, -86.776565)","36.163036, -86.776565",36.163036, -86.776565
19-26021,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,05/08/2019,06/27/2019,16200029000,LOVE MARKET TOBACCO & BEER,,1309  BELL RD  206,NASHVILLE,TN,37013.0,31.0,37019111.0,"1309 BELL RD 206
NASHVILLE, TN 37013
(36.046152, -86.676242)","36.046152, -86.676242",36.046152, -86.676242
20-26992,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,12/02/2020,08/26/2021,13302025000,THE BASEMENT LOUNGE,,3306B  NOLENSVILLE PIKE,NASHVILLE,TN,37211.0,16.0,37017500.0,"3306B NOLENSVILLE PIKE
NASHVILLE, TN 37211
(36.10112, -86.740232)","36.10112, -86.740232",36.10112, -86.740232
19-25991,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,04/24/2019,06/27/2019,08209041300,WALDOS CHICKEN GERMANTOWN,,1120  4TH AVE N 103,NASHVILLE,TN,37208.0,19.0,37019400.0,"1120 4TH AVE N 103
NASHVILLE, TN 37208
(36.17571, -86.786731)","36.17571, -86.786731",36.17571, -86.786731
19-26004,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,05/01/2019,06/27/2019,11714015900,EMMY SQUARED GREEN HILLS,,3821  GREEN HILLS VILLAGE DR,NASHVILLE,TN,37215.0,25.0,37017901.0,"3821 GREEN HILLS VILLAGE DR
NASHVILLE, TN 37215
(36.1086, -86.815498)","36.1086, -86.815498",36.1086, -86.815498
19-26021,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,05/08/2019,06/27/2019,16200028900,LOVE MARKET TOBACCO & BEER,,1309  BELL RD  205,ANTIOCH,TN,37013.0,31.0,37019111.0,"1309 BELL RD 205
ANTIOCH, TN 37013
(36.046152, -86.676242)","36.046152, -86.676242",36.046152, -86.676242
18-25790,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,11/30/2018,06/27/2019,08305012900,"SMOKERS ABBEY, LLC","Jason Green 35%, Joshua Stump 45%",604  GALLATIN AVE  101,NASHVILLE,TN,37206.0,5.0,37011900.0,"604 GALLATIN AVE 101
NASHVILLE, TN 37206
(36.182791, -86.748804)","36.182791, -86.748804",36.182791, -86.748804
19-26084,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,06/10/2019,06/27/2019,09106030300,UPTOWN MARKET,,5520  KENTUCKY AVE,NASHVILLE,TN,37209.0,20.0,37013300.0,"5520 KENTUCKY AVE
NASHVILLE, TN 37209
(36.159631, -86.855339)","36.159631, -86.855339",36.159631, -86.855339
21-27304,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,06/18/2021,03/10/2022,07213009500,OVERLORD,Melvil Martin Arnt,2503  GALLATIN AVE,NASHVILLE,TN,37206.0,5.0,37011700.0,"2503 GALLATIN AVE
NASHVILLE, TN 37206
(36.195212, -86.742993)","36.195212, -86.742993",36.195212, -86.742993
19-26049,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,05/21/2019,06/27/2019,07300003700,GRAND OLE OPRY,,2804  OPRYLAND DR,NASHVILLE,TN,37214.0,15.0,37015300.0,"2804 OPRYLAND DR
NASHVILLE, TN 37214
(36.20958, -86.691799)","36.20958, -86.691799",36.20958, -86.691799
21-27282,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,06/08/2021,03/10/2022,14200021500,EL AGAVERO MEXICAN RESTAURANT,,7657  HIGHWAY 70  S,NASHVILLE,TN,37221.0,22.0,37018409.0,"7657 HIGHWAY 70 S
NASHVILLE, TN 37221
(36.078409, -86.950654)","36.078409, -86.950654",36.078409, -86.950654
19-25929,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,03/08/2019,11/07/2019,10315004300,TRADER JOE'S #739,,90  WHITE BRIDGE PIKE,NASHVILLE,TN,37205.0,24.0,37018102.0,"90 WHITE BRIDGE PIKE
NASHVILLE, TN 37205",,,
19-26299,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,10/02/2019,11/07/2019,09309010700,The Mockingbird Nashville,"Maneet Chauhan, Vivek Deora",121A  12TH AVE N,NASHVILLE,TN,37203.0,19.0,37019500.0,"121A 12TH AVE N
NASHVILLE, TN 37203
(36.157575, -86.788123)","36.157575, -86.788123",36.157575, -86.788123
21-27040,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,01/12/2021,03/10/2022,10700016500,CAMBRIA HOTEL & SUITES NASHVILLE AIRPORT,,44  RACHEL DR,NASHVILLE,TN,37214.0,15.0,37015100.0,"44 RACHEL DR
NASHVILLE, TN 37214
(36.144348, -86.675328)","36.144348, -86.675328",36.144348, -86.675328
19-25980,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,04/17/2019,11/08/2019,09306400800,LOSER'S BAR & GRILL DOWNTOWN,,111  4TH AVE S,NASHVILLE,TN,37201.0,19.0,37019500.0,"111 4TH AVE S
NASHVILLE, TN 37201
(36.160507, -86.776825)","36.160507, -86.776825",36.160507, -86.776825
19-26265,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,09/16/2019,11/08/2019,08212034000,Lakeside Lounge,,921  WOODLAND ST,NASHVILLE,TN,37206.0,6.0,37019200.0,"921 WOODLAND ST
NASHVILLE, TN 37206
(36.175532, -86.755081)","36.175532, -86.755081",36.175532, -86.755081
20-27012,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,12/15/2020,01/14/2021,09100005900,WHITE BISON #6050,,5202  CENTENNIAL BLVD  102,NASHVILLE,TN,37209.0,20.0,37013000.0,"5202 CENTENNIAL BLVD 102
NASHVILLE, TN 37209
(36.163247, -86.850722)","36.163247, -86.850722",36.163247, -86.850722
19-25906,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,03/01/2019,06/27/2019,08600008900,JUICY SEAFOOD,,5514  OLD HICKORY BLVD,HERMITAGE,TN,37076.0,12.0,37015623.0,"5514 OLD HICKORY BLVD
HERMITAGE, TN 37076
(36.180692, -86.606423)","36.180692, -86.606423",36.180692, -86.606423
19-25931,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,03/12/2019,06/27/2019,09306311100,Downtown Sporting Club,"Brian Waller (4.04%), Broadway Building VCF, LLC (75%), Robert Chapman (5.499%)",411  BROADWAY,NASHVILLE,TN,37203.0,19.0,37019500.0,"411 BROADWAY
NASHVILLE, TN 37203
(36.160811, -86.777712)","36.160811, -86.777712",36.160811, -86.777712
19-25928,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,03/07/2019,11/08/2019,13005000100,SAM'S PLACE,"Allison Thomas, Sam Sanchez",6051  HIGHWAY 100,NASHVILLE,TN,37205.0,34.0,37018500.0,"6051 HIGHWAY 100
NASHVILLE, TN 37205
(36.097271, -86.873104)","36.097271, -86.873104",36.097271, -86.873104
21-27250,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,05/20/2021,08/26/2021,11904013300,RAMZY'S MEAT & THREE,,306 E THOMPSON LN,NASHVILLE,TN,37217.0,16.0,37015802.0,"306 E THOMPSON LN
NASHVILLE, TN 37217
(36.125925, -86.712542)","36.125925, -86.712542",36.125925, -86.712542
21-27324,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,07/06/2021,08/26/2021,08301041700,THE AUTHENTIQUE,,925  GALLATIN AVE  103,NASHVILLE,TN,37206.0,6.0,37011700.0,"925 GALLATIN AVE 103
NASHVILLE, TN 37206
(36.187811, -86.746595)","36.187811, -86.746595",36.187811, -86.746595
09-16596,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,09/09/2009,12/29/2009,03405013000,Dollar General #9630,"Dolgencorp, LLC",1578  Gallatin PIKE N,Madison,TN,37115.0,10.0,37010401.0,"1578 Gallatin PIKE N
Madison, TN 37115
(36.292052, -86.702981)","36.292052, -86.702981",36.292052, -86.702981
20-26536,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,03/11/2020,08/28/2020,10408016000,RUBY SUNSHINE,,1800  21ST AVE S,NASHVILLE,TN,37212.0,18.0,37016400.0,"1800 21ST AVE S
NASHVILLE, TN 37212
(36.136759, -86.800864)","36.136759, -86.800864",36.136759, -86.800864
20-26939,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,09/29/2020,01/14/2021,18100008400,ALDI #50,,7117  SOUTHPOINT PKWY,BRENTWOOD,TN,37027.0,31.0,37019114.0,"7117 SOUTHPOINT PKWY
BRENTWOOD, TN 37027",,,
20-26779,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,05/19/2020,01/14/2021,09306205700,TACO BELL CANTINA NASHVILLE DOWNTOWN,,131  2ND AVE N,NASHVILLE,TN,37201.0,19.0,37019500.0,"131 2ND AVE N
NASHVILLE, TN 37201
(36.162814, -86.775782)","36.162814, -86.775782",36.162814, -86.775782
20-26850,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,07/10/2020,01/14/2021,10700005000,NASHVILLE INTERNATIONAL AIRPORT,,1  TERMINAL DR,NASHVILLE,TN,37214.0,13.0,37980100.0,"1 TERMINAL DR
NASHVILLE, TN 37214
(36.131602, -86.668735)","36.131602, -86.668735",36.131602, -86.668735
