GISJOIN,YEAR,STUSAB,STATE,STATEA,COUNTY,COUNTYA,TRACTA,BLKGRPA,GEOID,NAME,BTTRA,BTBGA,Total,not_hisp_lat,not_white,not_black,not_aian,not_asian,not_nhpi,not_other,not_two_more,not_two_incl_someother,not_two_excl_someother_three,hisp_lat,hisp_white,hisp_black,hisp_aian,hisp_asian,hisp_nhpi,hisp_other,hisp_two_more,hisp_two_incl_someother,hisp_two_excl_someother_three
G26000500304023,2016-2020,MI,Michigan,26,Allegan County,5,30402,3,15000US260050304023,"Block Group 3, Census Tract 304.02, Allegan County, Michigan",,,801,791,770,0,2,19,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0
G26000500304031,2016-2020,MI,Michigan,26,Allegan County,5,30403,1,15000US260050304031,"Block Group 1, Census Tract 304.03, Allegan County, Michigan",,,2824,2794,2794,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,0,0
G26000500304032,2016-2020,MI,Michigan,26,Allegan County,5,30403,2,15000US260050304032,"Block Group 2, Census Tract 304.03, Allegan County, Michigan",,,1762,1762,1709,0,0,0,0,0,53,0,53,0,0,0,0,0,0,0,0,0,0
G26000500304041,2016-2020,MI,Michigan,26,Allegan County,5,30404,1,15000US260050304041,"Block Group 1, Census Tract 304.04, Allegan County, Michigan",,,1701,1701,1607,25,30,14,0,0,25,0,25,0,0,0,0,0,0,0,0,0,0
G26000500304042,2016-2020,MI,Michigan,26,Allegan County,5,30404,2,15000US260050304042,"Block Group 2, Census Tract 304.04, Allegan County, Michigan",,,1543,1543,1543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G26000500305011,2016-2020,MI,Michigan,26,Allegan County,5,30501,1,15000US260050305011,"Block Group 1, Census Tract 305.01, Allegan County, Michigan",,,1772,1749,1602,0,15,35,0,10,87,0,87,23,0,0,0,0,0,10,13,13,0
G26000500305012,2016-2020,MI,Michigan,26,Allegan County,5,30501,2,15000US260050305012,"Block Group 2, Census Tract 305.01, Allegan County, Michigan",,,1377,1200,1056,6,44,6,0,0,88,0,88,177,0,0,0,0,0,0,177,177,0
G26000500305021,2016-2020,MI,Michigan,26,Allegan County,5,30502,1,15000US260050305021,"Block Group 1, Census Tract 305.02, Allegan County, Michigan",,,1831,1767,1688,49,0,0,0,0,30,0,30,64,12,0,0,0,0,0,52,52,0
G26000500305022,2016-2020,MI,Michigan,26,Allegan County,5,30502,2,15000US260050305022,"Block Group 2, Census Tract 305.02, Allegan County, Michigan",,,2964,2912,2816,38,0,0,0,0,58,0,58,52,34,0,0,0,0,0,18,0,18
G26000500306001,2016-2020,MI,Michigan,26,Allegan County,5,30600,1,15000US260050306001,"Block Group 1, Census Tract 306, Allegan County, Michigan",,,2252,2042,1921,15,17,0,0,2,87,76,11,210,155,0,0,0,0,8,47,0,47
G26000500306002,2016-2020,MI,Michigan,26,Allegan County,5,30600,2,15000US260050306002,"Block Group 2, Census Tract 306, Allegan County, Michigan",,,1987,1976,1819,45,14,0,0,5,93,0,93,11,5,0,0,0,0,0,6,0,6
G26000500306003,2016-2020,MI,Michigan,26,Allegan County,5,30600,3,15000US260050306003,"Block Group 3, Census Tract 306, Allegan County, Michigan",,,1007,1007,1007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G26000500307021,2016-2020,MI,Michigan,26,Allegan County,5,30702,1,15000US260050307021,"Block Group 1, Census Tract 307.02, Allegan County, Michigan",,,1675,1635,1564,10,3,13,0,0,45,0,45,40,18,0,0,0,0,6,16,16,0
G26000500307022,2016-2020,MI,Michigan,26,Allegan County,5,30702,2,15000US260050307022,"Block Group 2, Census Tract 307.02, Allegan County, Michigan",,,1686,1673,1664,0,0,0,0,0,9,0,9,13,13,0,0,0,0,0,0,0,0
G26000500307023,2016-2020,MI,Michigan,26,Allegan County,5,30702,3,15000US260050307023,"Block Group 3, Census Tract 307.02, Allegan County, Michigan",,,1406,1340,1282,14,0,0,0,0,44,0,44,66,33,0,0,0,0,0,33,33,0
G26000500307031,2016-2020,MI,Michigan,26,Allegan County,5,30703,1,15000US260050307031,"Block Group 1, Census Tract 307.03, Allegan County, Michigan",,,1912,1200,1144,0,0,11,0,0,45,3,42,712,575,5,0,0,0,13,119,108,11
G26000500307032,2016-2020,MI,Michigan,26,Allegan County,5,30703,2,15000US260050307032,"Block Group 2, Census Tract 307.03, Allegan County, Michigan",,,1341,1023,993,18,0,0,0,0,12,0,12,318,163,0,0,0,0,150,5,5,0
G26000500307041,2016-2020,MI,Michigan,26,Allegan County,5,30704,1,15000US260050307041,"Block Group 1, Census Tract 307.04, Allegan County, Michigan",,,2313,2116,2113,0,0,0,0,0,3,0,3,197,159,0,0,0,0,9,29,29,0
G26000500307042,2016-2020,MI,Michigan,26,Allegan County,5,30704,2,15000US260050307042,"Block Group 2, Census Tract 307.04, Allegan County, Michigan",,,1456,840,826,11,0,0,0,0,3,0,3,616,459,0,0,0,0,110,47,34,13
G26000500307043,2016-2020,MI,Michigan,26,Allegan County,5,30704,3,15000US260050307043,"Block Group 3, Census Tract 307.04, Allegan County, Michigan",,,1122,998,961,0,0,0,0,0,37,0,37,124,37,9,0,0,0,57,21,21,0
G26000500308011,2016-2020,MI,Michigan,26,Allegan County,5,30801,1,15000US260050308011,"Block Group 1, Census Tract 308.01, Allegan County, Michigan",,,765,751,734,0,0,0,0,0,17,0,17,14,10,0,4,0,0,0,0,0,0
G26000500308012,2016-2020,MI,Michigan,26,Allegan County,5,30801,2,15000US260050308012,"Block Group 2, Census Tract 308.01, Allegan County, Michigan",,,1374,1247,1212,0,30,0,0,0,5,0,5,127,84,0,0,0,0,43,0,0,0
G26000500308021,2016-2020,MI,Michigan,26,Allegan County,5,30802,1,15000US260050308021,"Block Group 1, Census Tract 308.02, Allegan County, Michigan",,,1681,1625,1591,0,0,16,0,0,18,18,0,56,56,0,0,0,0,0,0,0,0
G26000500308022,2016-2020,MI,Michigan,26,Allegan County,5,30802,2,15000US260050308022,"Block Group 2, Census Tract 308.02, Allegan County, Michigan",,,378,374,348,0,0,1,0,0,25,0,25,4,4,0,0,0,0,0,0,0,0
G26000500308023,2016-2020,MI,Michigan,26,Allegan County,5,30802,3,15000US260050308023,"Block Group 3, Census Tract 308.02, Allegan County, Michigan",,,1106,1003,968,0,21,13,0,0,1,0,1,103,84,19,0,0,0,0,0,0,0
G26000500309011,2016-2020,MI,Michigan,26,Allegan County,5,30901,1,15000US260050309011,"Block Group 1, Census Tract 309.01, Allegan County, Michigan",,,1115,877,857,0,0,0,0,0,20,0,20,238,238,0,0,0,0,0,0,0,0
G26000500309012,2016-2020,MI,Michigan,26,Allegan County,5,30901,2,15000US260050309012,"Block Group 2, Census Tract 309.01, Allegan County, Michigan",,,1026,994,990,0,0,0,0,0,4,0,4,32,0,0,0,0,0,9,23,23,0
G26000500309013,2016-2020,MI,Michigan,26,Allegan County,5,30901,3,15000US260050309013,"Block Group 3, Census Tract 309.01, Allegan County, Michigan",,,913,827,746,61,0,4,0,0,16,0,16,86,86,0,0,0,0,0,0,0,0
G26000500309021,2016-2020,MI,Michigan,26,Allegan County,5,30902,1,15000US260050309021,"Block Group 1, Census Tract 309.02, Allegan County, Michigan",,,1092,860,828,8,0,12,0,0,12,6,6,232,131,0,1,3,0,53,44,11,33
G26000500309022,2016-2020,MI,Michigan,26,Allegan County,5,30902,2,15000US260050309022,"Block Group 2, Census Tract 309.02, Allegan County, Michigan",,,803,753,732,6,0,0,0,0,15,0,15,50,6,0,0,0,0,0,44,44,0
G26000500309023,2016-2020,MI,Michigan,26,Allegan County,5,30902,3,15000US260050309023,"Block Group 3, Census Tract 309.02, Allegan County, Michigan",,,755,564,546,0,0,18,0,0,0,0,0,191,152,0,0,0,0,0,39,23,16
G26000500310011,2016-2020,MI,Michigan,26,Allegan County,5,31001,1,15000US260050310011,"Block Group 1, Census Tract 310.01, Allegan County, Michigan",,,1534,682,650,0,4,0,0,0,28,0,28,852,437,0,0,0,0,411,4,0,4
G26000500310012,2016-2020,MI,Michigan,26,Allegan County,5,31001,2,15000US260050310012,"Block Group 2, Census Tract 310.01, Allegan County, Michigan",,,1508,774,774,0,0,0,0,0,0,0,0,734,610,0,0,0,0,124,0,0,0
G26000500310021,2016-2020,MI,Michigan,26,Allegan County,5,31002,1,15000US260050310021,"Block Group 1, Census Tract 310.02, Allegan County, Michigan",,,1494,1460,1164,26,0,0,0,0,270,241,29,34,34,0,0,0,0,0,0,0,0
G26000500310022,2016-2020,MI,Michigan,26,Allegan County,5,31002,2,15000US260050310022,"Block Group 2, Census Tract 310.02, Allegan County, Michigan",,,825,819,753,18,0,0,0,0,48,0,48,6,6,0,0,0,0,0,0,0,0
G26000500310023,2016-2020,MI,Michigan,26,Allegan County,5,31002,3,15000US260050310023,"Block Group 3, Census Tract 310.02, Allegan County, Michigan",,,978,933,869,26,0,0,0,5,33,0,33,45,45,0,0,0,0,0,0,0,0
G26000500311011,2016-2020,MI,Michigan,26,Allegan County,5,31101,1,15000US260050311011,"Block Group 1, Census Tract 311.01, Allegan County, Michigan",,,964,870,866,4,0,0,0,0,0,0,0,94,94,0,0,0,0,0,0,0,0
G26000500311012,2016-2020,MI,Michigan,26,Allegan County,5,31101,2,15000US260050311012,"Block Group 2, Census Tract 311.01, Allegan County, Michigan",,,1745,1687,1469,0,20,9,0,0,189,20,169,58,57,0,1,0,0,0,0,0,0
G26000500311013,2016-2020,MI,Michigan,26,Allegan County,5,31101,3,15000US260050311013,"Block Group 3, Census Tract 311.01, Allegan County, Michigan",,,921,897,710,28,0,35,0,0,124,0,124,24,0,3,0,0,0,0,21,0,21
G26000500311021,2016-2020,MI,Michigan,26,Allegan County,5,31102,1,15000US260050311021,"Block Group 1, Census Tract 311.02, Allegan County, Michigan",,,517,517,511,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0
G26000500311022,2016-2020,MI,Michigan,26,Allegan County,5,31102,2,15000US260050311022,"Block Group 2, Census Tract 311.02, Allegan County, Michigan",,,1308,1305,1200,40,0,1,0,0,64,21,43,3,3,0,0,0,0,0,0,0,0
G26000500311023,2016-2020,MI,Michigan,26,Allegan County,5,31102,3,15000US260050311023,"Block Group 3, Census Tract 311.02, Allegan County, Michigan",,,1208,1197,1176,21,0,0,0,0,0,0,0,11,9,0,0,0,0,0,2,0,2
G26000500312001,2016-2020,MI,Michigan,26,Allegan County,5,31200,1,15000US260050312001,"Block Group 1, Census Tract 312, Allegan County, Michigan",,,1892,1882,1583,212,3,0,0,0,84,0,84,10,10,0,0,0,0,0,0,0,0
G26000500312002,2016-2020,MI,Michigan,26,Allegan County,5,31200,2,15000US260050312002,"Block Group 2, Census Tract 312, Allegan County, Michigan",,,1392,1315,1262,37,0,0,0,0,16,0,16,77,77,0,0,0,0,0,0,0,0
G26000500312003,2016-2020,MI,Michigan,26,Allegan County,5,31200,3,15000US260050312003,"Block Group 3, Census Tract 312, Allegan County, Michigan",,,1589,1444,1285,0,17,97,0,0,45,0,45,145,36,0,0,0,0,58,51,38,13
G26000500312004,2016-2020,MI,Michigan,26,Allegan County,5,31200,4,15000US260050312004,"Block Group 4, Census Tract 312, Allegan County, Michigan",,,665,640,583,57,0,0,0,0,0,0,0,25,0,0,0,0,0,0,25,0,25
G26000500313001,2016-2020,MI,Michigan,26,Allegan County,5,31300,1,15000US260050313001,"Block Group 1, Census Tract 313, Allegan County, Michigan",,,1148,1145,1082,9,4,40,0,0,10,0,10,3,3,0,0,0,0,0,0,0,0
G26000500313002,2016-2020,MI,Michigan,26,Allegan County,5,31300,2,15000US260050313002,"Block Group 2, Census Tract 313, Allegan County, Michigan",,,2178,2144,2075,13,0,10,0,0,46,0,46,34,26,0,0,0,0,8,0,0,0
G26000500313003,2016-2020,MI,Michigan,26,Allegan County,5,31300,3,15000US260050313003,"Block Group 3, Census Tract 313, Allegan County, Michigan",,,1422,1404,1380,18,0,0,0,0,6,0,6,18,18,0,0,0,0,0,0,0,0
G26000500318001,2016-2020,MI,Michigan,26,Allegan County,5,31800,1,15000US260050318001,"Block Group 1, Census Tract 318, Allegan County, Michigan",,,1286,1212,1172,31,0,0,0,0,9,0,9,74,0,2,0,0,0,0,72,0,72
G26000500318002,2016-2020,MI,Michigan,26,Allegan County,5,31800,2,15000US260050318002,"Block Group 2, Census Tract 318, Allegan County, Michigan",,,1513,1480,1480,0,0,0,0,0,0,0,0,33,33,0,0,0,0,0,0,0,0
G26000500318003,2016-2020,MI,Michigan,26,Allegan County,5,31800,3,15000US260050318003,"Block Group 3, Census Tract 318, Allegan County, Michigan",,,1589,1564,1131,11,13,0,0,0,409,303,106,25,25,0,0,0,0,0,0,0,0
G26000500318004,2016-2020,MI,Michigan,26,Allegan County,5,31800,4,15000US260050318004,"Block Group 4, Census Tract 318, Allegan County, Michigan",,,684,684,667,0,0,0,0,0,17,17,0,0,0,0,0,0,0,0,0,0,0
G26000500319001,2016-2020,MI,Michigan,26,Allegan County,5,31900,1,15000US260050319001,"Block Group 1, Census Tract 319, Allegan County, Michigan",,,781,781,739,23,0,0,0,0,19,0,19,0,0,0,0,0,0,0,0,0,0
G26000500319002,2016-2020,MI,Michigan,26,Allegan County,5,31900,2,15000US260050319002,"Block Group 2, Census Tract 319, Allegan County, Michigan",,,1070,1070,741,0,0,0,0,329,0,0,0,0,0,0,0,0,0,0,0,0,0
G26000500319003,2016-2020,MI,Michigan,26,Allegan County,5,31900,3,15000US260050319003,"Block Group 3, Census Tract 319, Allegan County, Michigan",,,1834,1701,1402,0,0,53,0,0,246,0,246,133,133,0,0,0,0,0,0,0,0
G26000500319004,2016-2020,MI,Michigan,26,Allegan County,5,31900,4,15000US260050319004,"Block Group 4, Census Tract 319, Allegan County, Michigan",,,1132,1132,1082,0,0,35,0,0,15,0,15,0,0,0,0,0,0,0,0,0,0
G26000500320001,2016-2020,MI,Michigan,26,Allegan County,5,32000,1,15000US260050320001,"Block Group 1, Census Tract 320, Allegan County, Michigan",,,1338,1338,1338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G26000500320002,2016-2020,MI,Michigan,26,Allegan County,5,32000,2,15000US260050320002,"Block Group 2, Census Tract 320, Allegan County, Michigan",,,1881,1771,1748,0,0,0,0,0,23,0,23,110,79,0,0,0,0,31,0,0,0
G26000500320003,2016-2020,MI,Michigan,26,Allegan County,5,32000,3,15000US260050320003,"Block Group 3, Census Tract 320, Allegan County, Michigan",,,998,840,840,0,0,0,0,0,0,0,0,158,88,0,0,0,0,0,70,0,70
G26000500320004,2016-2020,MI,Michigan,26,Allegan County,5,32000,4,15000US260050320004,"Block Group 4, Census Tract 320, Allegan County, Michigan",,,831,804,793,11,0,0,0,0,0,0,0,27,25,2,0,0,0,0,0,0,0
G26000500321001,2016-2020,MI,Michigan,26,Allegan County,5,32100,1,15000US260050321001,"Block Group 1, Census Tract 321, Allegan County, Michigan",,,1558,1511,1403,27,0,0,0,0,81,0,81,47,45,2,0,0,0,0,0,0,0
G26000500321002,2016-2020,MI,Michigan,26,Allegan County,5,32100,2,15000US260050321002,"Block Group 2, Census Tract 321, Allegan County, Michigan",,,788,777,722,0,6,0,0,0,49,0,49,11,6,0,0,0,0,5,0,0,0
G26000500321003,2016-2020,MI,Michigan,26,Allegan County,5,32100,3,15000US260050321003,"Block Group 3, Census Tract 321, Allegan County, Michigan",,,1480,1446,1341,0,88,0,0,0,17,0,17,34,34,0,0,0,0,0,0,0,0
G26000500321004,2016-2020,MI,Michigan,26,Allegan County,5,32100,4,15000US260050321004,"Block Group 4, Census Tract 321, Allegan County, Michigan",,,942,942,906,0,4,0,0,0,32,0,32,0,0,0,0,0,0,0,0,0,0
G26000500322001,2016-2020,MI,Michigan,26,Allegan County,5,32200,1,15000US260050322001,"Block Group 1, Census Tract 322, Allegan County, Michigan",,,1611,1462,1419,43,0,0,0,0,0,0,0,149,114,0,0,0,0,5,30,30,0
G26000500322002,2016-2020,MI,Michigan,26,Allegan County,5,32200,2,15000US260050322002,"Block Group 2, Census Tract 322, Allegan County, Michigan",,,1067,995,828,167,0,0,0,0,0,0,0,72,62,0,0,0,0,0,10,10,0
G26000500322003,2016-2020,MI,Michigan,26,Allegan County,5,32200,3,15000US260050322003,"Block Group 3, Census Tract 322, Allegan County, Michigan",,,1580,1341,1284,57,0,0,0,0,0,0,0,239,131,21,0,0,0,11,76,76,0
G26000500322004,2016-2020,MI,Michigan,26,Allegan County,5,32200,4,15000US260050322004,"Block Group 4, Census Tract 322, Allegan County, Michigan",,,924,840,840,0,0,0,0,0,0,0,0,84,16,0,0,0,0,68,0,0,0
G26000500324011,2016-2020,MI,Michigan,26,Allegan County,5,32401,1,15000US260050324011,"Block Group 1, Census Tract 324.01, Allegan County, Michigan",,,1569,801,639,67,0,51,0,0,44,0,44,768,412,0,9,0,0,228,119,53,66
G26000500324021,2016-2020,MI,Michigan,26,Allegan County,5,32402,1,15000US260050324021,"Block Group 1, Census Tract 324.02, Allegan County, Michigan",,,1317,1238,1201,0,0,0,0,0,37,0,37,79,26,0,41,0,0,7,5,5,0
G26000500324022,2016-2020,MI,Michigan,26,Allegan County,5,32402,2,15000US260050324022,"Block Group 2, Census Tract 324.02, Allegan County, Michigan",,,1593,1547,1529,5,1,0,0,0,12,0,12,46,15,0,0,0,0,6,25,18,7
G26000500324023,2016-2020,MI,Michigan,26,Allegan County,5,32402,3,15000US260050324023,"Block Group 3, Census Tract 324.02, Allegan County, Michigan",,,1367,1313,1204,12,45,38,0,0,14,0,14,54,12,0,0,0,0,42,0,0,0
G26000500326001,2016-2020,MI,Michigan,26,Allegan County,5,32600,1,15000US260050326001,"Block Group 1, Census Tract 326, Allegan County, Michigan",,,1486,1361,1259,43,0,17,0,0,42,0,42,125,44,0,0,0,0,55,26,26,0
G26000509900000,2016-2020,MI,Michigan,26,Allegan County,5,990000,0,15000US260059900000,"Block Group 0, Census Tract 9900, Allegan County, Michigan",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G26000700001011,2016-2020,MI,Michigan,26,Alpena County,7,101,1,15000US260070001011,"Block Group 1, Census Tract 1.01, Alpena County, Michigan",,,547,547,544,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0
G26000700001012,2016-2020,MI,Michigan,26,Alpena County,7,101,2,15000US260070001012,"Block Group 2, Census Tract 1.01, Alpena County, Michigan",,,695,691,691,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0
G26000700001021,2016-2020,MI,Michigan,26,Alpena County,7,102,1,15000US260070001021,"Block Group 1, Census Tract 1.02, Alpena County, Michigan",,,500,497,494,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,3,0,3
G26000700001022,2016-2020,MI,Michigan,26,Alpena County,7,102,2,15000US260070001022,"Block Group 2, Census Tract 1.02, Alpena County, Michigan",,,606,603,598,3,0,0,0,2,0,0,0,3,0,0,0,0,0,0,3,3,0
G26000700001023,2016-2020,MI,Michigan,26,Alpena County,7,102,3,15000US260070001023,"Block Group 3, Census Tract 1.02, Alpena County, Michigan",,,1220,1220,1175,0,0,8,0,0,37,11,26,0,0,0,0,0,0,0,0,0,0
G26000700001024,2016-2020,MI,Michigan,26,Alpena County,7,102,4,15000US260070001024,"Block Group 4, Census Tract 1.02, Alpena County, Michigan",,,1072,1063,1004,1,0,0,0,1,57,0,57,9,7,0,0,0,0,1,1,1,0
G26000700002001,2016-2020,MI,Michigan,26,Alpena County,7,200,1,15000US260070002001,"Block Group 1, Census Tract 2, Alpena County, Michigan",,,1004,997,849,4,16,6,0,78,44,0,44,7,7,0,0,0,0,0,0,0,0
G26000700002002,2016-2020,MI,Michigan,26,Alpena County,7,200,2,15000US260070002002,"Block Group 2, Census Tract 2, Alpena County, Michigan",,,577,575,570,0,4,0,0,0,1,0,1,2,0,0,0,0,0,0,2,0,2
G26000700002003,2016-2020,MI,Michigan,26,Alpena County,7,200,3,15000US260070002003,"Block Group 3, Census Tract 2, Alpena County, Michigan",,,917,905,901,0,0,0,0,0,4,0,4,12,12,0,0,0,0,0,0,0,0
G26000700002004,2016-2020,MI,Michigan,26,Alpena County,7,200,4,15000US260070002004,"Block Group 4, Census Tract 2, Alpena County, Michigan",,,642,642,642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G26000700002005,2016-2020,MI,Michigan,26,Alpena County,7,200,5,15000US260070002005,"Block Group 5, Census Tract 2, Alpena County, Michigan",,,872,872,825,0,33,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
